joy, joy, ecstatic
trust, believe, hope
fear, worry, scared, fear
surprise, surprise, amazed, shocked
sadness, sadness, despair, lonely, sad, saddening
disgust, disgust, sick, filth, sickening, disgusting, filthy
anger, hate, anger, hatred, corrupt, evil
anticipation, hope, pray, anticipate, desire, dream
